revenue,qg_naics2022,qg_dandbstandardindustrycode,statuscode
12487829.0,759,4080,777040002
6282562.0,760,4076,777040002
240161.0,759,4080,777040002
12222081.0,138,607,777040002
35966876.0,552,2379,777040002
55599600.0,240,1399,777040002
70206158.0,109,527,777040002
4937931.0,859,4178,777040002
8427202.0,341,1817,777040002
215881948.0,891,4418,2
57409443.0,757,4070,2
68467192.0,757,4062,777040002
46345239.0,660,3622,777040002
60548482.0,612,3765,777040002
21711790.0,708,3692,777040002
21534805.0,394,2084,777040002
511712.0,661,3625,777040002
10551164.0,619,2440,777040002
13301526.0,25,69,777040002
12064121.0,459,2771,777040002
235306.0,721,4232,777040002
14352753.0,773,4014,777040002
0.0,679,4053,777040002
215881948.0,891,4418,2
9230105.0,442,2602,777040002
2000000.0,612,3765,777040002
8084121.0,523,3320,777040002
5000000.0,70,219,777040002
6175295.0,500,3262,777040002
1509868000.0,660,3622,777040002
297290260.0,706,4207,777040002
241663733.0,198,1054,777040002
208711012.0,842,3783,777040002
86334222.0,394,2084,777040002
819855.0,702,4275,777040002
9989802.0,776,4047,777040002
7440981.0,759,4080,777040002
327219.0,759,4082,777040002
1555232.0,759,4080,777040002
1200368.0,760,4077,777040002
